2024/07/07 08:47:43 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:47:47 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:47:54 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:48:02 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:48:07 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:53:15 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:53:20 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:53:26 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:53:30 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:53:37 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:53:44 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:53:49 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:53:54 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:54:10 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:54:14 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/09 23:33:41 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/11 13:46:01 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/13 16:25:44 logger.go:19: ERROR: could not get img identifier due to irregular filename | '213092-841901903 -0300 -03 m=.png'
2024/07/13 16:25:44 logger.go:19: ERROR: could not get img identifier due to irregular filename | '15721-402235289 -0300 -03 m=.png'
2024/07/13 17:46:15 logger.go:19: ERROR: could not get img identifier due to irregular filename | '15721-402235289 -0300 -03 m=.png'
2024/07/13 17:46:15 logger.go:19: ERROR: could not get img identifier due to irregular filename | '248101-72600113 -0300 -03 m=.png'
2024/07/13 17:46:21 logger.go:19: ERROR: could not get img identifier due to irregular filename | '248101-72600113 -0300 -03 m=.png'
2024/07/13 17:46:21 logger.go:19: ERROR: could not get img identifier due to irregular filename | '17562-607341498 -0300 -03 m=.png'
2024/07/13 18:05:35 logger.go:19: ERROR: could not get img identifier due to irregular filename | '17562-607341498 -0300 -03 m=.png'
2024/07/13 18:05:35 logger.go:19: ERROR: could not get img identifier due to irregular filename | '355402-013702636 -0300 -03 m=.png'
2024/07/13 18:05:37 logger.go:19: ERROR: could not get img identifier due to irregular filename | '355402-013702636 -0300 -03 m=.png'
2024/07/13 18:05:37 logger.go:19: ERROR: could not get img identifier due to irregular filename | '8743-855398707 -0300 -03 m=.png'
2024/07/13 18:55:53 logger.go:19: ERROR: could not get img identifier due to irregular filename | '8743-855398707 -0300 -03 m=.png'
2024/07/13 18:55:53 logger.go:19: ERROR: could not get img identifier due to irregular filename | '441739-922054268 -0300 -03 m=.png'
2024/07/13 18:55:58 logger.go:19: ERROR: could not get img identifier due to irregular filename | '441739-922054268 -0300 -03 m=.png'
2024/07/13 18:55:58 logger.go:19: ERROR: could not get img identifier due to irregular filename | '31758-263124457 -0300 -03 m=.png'
2024/07/14 10:34:55 logger.go:19: ERROR: could not get img identifier due to irregular filename | '31758-263124457 -0300 -03 m=.png'
2024/07/14 10:34:55 logger.go:19: ERROR: could not get img identifier due to irregular filename | '309217-265946681 -0300 -03 m=.png'
2024/07/14 10:34:58 logger.go:19: ERROR: could not get img identifier due to irregular filename | '309217-265946681 -0300 -03 m=.png'
2024/07/14 10:34:58 logger.go:19: ERROR: could not get img identifier due to irregular filename | '24117-697662694 -0300 -03 m=.png'
2024/07/14 10:48:56 logger.go:19: ERROR: could not get img identifier due to irregular filename | '24117-697662694 -0300 -03 m=.png'
2024/07/14 10:48:56 logger.go:19: ERROR: could not get img identifier due to irregular filename | '309086-244621189 -0300 -03 m=.png'
2024/07/14 10:49:04 logger.go:19: ERROR: could not get img identifier due to irregular filename | '309086-244621189 -0300 -03 m=.png'
2024/07/14 10:49:04 logger.go:19: ERROR: could not get img identifier due to irregular filename | '28216-745176834 -0300 -03 m=.png'
2024/07/14 11:13:55 logger.go:19: ERROR: could not get img identifier due to irregular filename | '28216-745176834 -0300 -03 m=.png'
2024/07/14 11:13:55 logger.go:19: ERROR: could not get img identifier due to irregular filename | '333669-030595657 -0300 -03 m=.png'
2024/07/14 11:13:59 logger.go:19: ERROR: could not get img identifier due to irregular filename | '333669-030595657 -0300 -03 m=.png'
2024/07/14 11:13:59 logger.go:19: ERROR: could not get img identifier due to irregular filename | '15549-887507505 -0300 -03 m=.png'
2024/07/14 11:35:26 logger.go:19: ERROR: could not get img identifier due to irregular filename | '15549-887507505 -0300 -03 m=.png'
2024/07/14 11:35:26 logger.go:19: ERROR: could not get img identifier due to irregular filename | '264149-963795827 -0300 -03 m=.png'
2024/07/14 11:36:17 logger.go:19: ERROR: could not get img identifier due to irregular filename | '264149-963795827 -0300 -03 m=.png'
2024/07/14 11:36:17 logger.go:19: ERROR: could not get img identifier due to irregular filename | '464132-034842194 -0300 -03 m=.png'
